,Name,Party,Position,Score,State,Tenure,YOB
172,"Hastings, Richard Norman (Doc)",R,Rep,-2154061800000.0,WA,9,1941
173,"Hayworth, John D., Jr.",R,Rep,-2469495600000.0,AZ,5,1958
174,"Hefley, Joel M.",R,Rep,-1593816100000.0,CO,5,1935
175,"Hefner, Willie Gathrel (Bill)",D,Rep,-228434000000.0,NC,1,1930
176,"Herger, Walter William (Wally)",R,Rep,-2533674900000.0,CA,8,1945
177,"Hill, Rick",R,Rep,-48498700000.0,MT,2,1946
178,"Hilleary, Van",R,Rep,-1386029600000.0,TN,3,1959
179,"Hilliard, Earl Frederick",D,Rep,-1301474100000.0,AL,3,1942
180,"Hinchey, Maurice Dunlea",D,Rep,-935516600000.0,NY,8,1938
181,"Hinojosa, Rubén",D,Rep,-2516253100000.0,TX,10,1940
182,"Hobson, David Lee",R,Rep,-2714816600000.0,OH,6,1936
183,"Hoekstra, Peter",R,Rep,-1462894900000.0,MI,7,1953
184,"Holden, Thomas Timothy (Tim)",D,Rep,-2481470100000.0,PA,8,1957
185,"Hooley, Darlene",D,Rep,-2517653100000.0,OR,6,1939
186,"Horn, John Stephen (Steve)",R,Rep,-1393154600000.0,CA,3,1931
187,"Hostettler, John Nathan",R,Rep,-2679947100000.0,IN,5,1961
188,"Houghton, Amory, Jr.",R,Rep,-411141100000.0,NY,4,1926
189,"Hoyer, Steny Hamilton",D,Rep,-2525873100000.0,MD,11,1939
190,"Hulshof, Kenny",R,Rep,-2693608900000.0,MO,6,1958
191,"Hunter, Duncan Lee",R,Rep,-2650071600000.0,CA,6,1948
192,"Hutchinson, Asa",R,Rep,-281792200000.0,AR,3,1950
193,"Hyde, Henry John",R,Rep,-2574340600000.0,IL,5,1924
194,"Inglis, Robert Durden",R,Rep,-1514429200000.0,SC,4,1959
195,"Istook, Ernest James, Jr.",R,Rep,-1637600600000.0,OK,5,1950
196,"Jackson, Jesse L., Jr.",D,Rep,-1973894600000.0,IL,8,1965
197,"Jackson lee, Sheila",D,Rep,0.0,TX,11,1950
198,"Jefferson, William Jennings",D,Rep,-2526544100000.0,LA,6,1947
199,"Jenkins, William Lewis",R,Rep,-2688113600000.0,TN,5,1936
200,"John, Christopher",D,Rep,-1350747600000.0,LA,4,1960
201,"Johnson, Eddie Bernice",D,Rep,0.0,TX,11,1935
202,"Johnson, Jay W.",D,Rep,-228775700000.0,WI,1,1943
203,"Johnson, Nancy Lee",R,Rep,-1660748600000.0,CT,5,1935
204,"Johnson, Sam",R,Rep,0.0,TX,11,1930
205,"Jones, Walter Beaman, Jr.",R,Rep,-1998600100000.0,NC,11,1943
206,"Kanjorski, Paul E.",D,Rep,-1489954600000.0,PA,7,1937
207,"Kaptur, Marcia Carolyn (Marcy)",D,Rep,-1451337100000.0,OH,11,1946
208,"Kasich, John Richard",R,Rep,-50173200000.0,OH,2,1952
209,"Kelly, Sue W.",R,Rep,-2692760600000.0,NY,5,1936
210,"Kennedy, Joseph Patrick, II",D,Rep,-229250200000.0,MA,1,1952
211,"Kennedy, Patrick Joseph",D,Rep,-2523230100000.0,RI,7,1967
212,"Kennelly, Barbara Bailey",D,Rep,-228775700000.0,CT,1,1936
213,"Kildee, Dale Edward",D,Rep,-2521854600000.0,MI,8,1929
214,"Kilpatrick, Carolyn Cheeks",D,Rep,-957165100000.0,MI,7,1945
215,"Kim, Jay C.",R,Rep,-229250200000.0,CA,1,1939
216,"Kind, Ron",D,Rep,-1527806600000.0,WI,11,1963
217,"King, Peter T.",R,Rep,-1715546600000.0,NY,11,1944
218,"Kingston, Jack",R,Rep,-2718729100000.0,GA,9,1955
219,"Kleczka, Gerald Daniel",D,Rep,-302809100000.0,WI,4,1943
220,"Klink, Ronald",D,Rep,-229975700000.0,PA,2,1951
221,"Klug, Scott L.",R,Rep,-228775700000.0,WI,1,1953
222,"Knollenberg, Joseph",R,Rep,-2760643600000.0,MI,6,1933
223,"Kolbe, James Thomas",R,Rep,-2691429600000.0,AZ,5,1942
224,"Kucinich, Dennis",D,Rep,-717729600000.0,OH,8,1946
225,"Lafalce, John Joseph",D,Rep,0.0,NY,3,1939
226,"Lahood, Ray H.",R,Rep,0.0,IL,6,1945
